order_id,customer_id,product_id,quantity,amount,status,payment_method,city,created_at
ORD000001,CUST0038,PROD051,2,132765.36,failed,UPI,Hyderabad,2026-05-01 14:52:00
ORD000002,CUST0029,PROD043,1,159904.05,pending,Net Banking,Mumbai,2026-05-01 12:08:00
ORD000003,CUST0005,PROD012,1,118181.32,completed,Net Banking,Kolkata,2026-05-01 19:50:00
ORD000004,CUST0093,PROD033,1,90206.22,completed,Debit Card,Jaipur,2026-05-01 11:47:00
ORD000005,CUST0169,PROD034,1,156861.96,completed,UPI,Mumbai,2026-05-01 15:39:00
ORD000006,CUST0126,PROD046,1,137533.09,failed,UPI,Delhi,2026-05-01 23:54:00
ORD000007,CUST0160,PROD041,1,26111.25,completed,Credit Card,Kolkata,2026-05-01 18:38:00
ORD000008,CUST0180,PROD008,1,86609.1,pending,EMI,Chennai,2026-05-01 17:29:00
ORD000009,CUST0117,PROD026,2,166696.63,completed,UPI,Pune,2026-05-01 21:28:00
ORD000010,CUST0040,PROD044,1,75485.28,failed,UPI,Delhi,2026-05-01 21:20:00
ORD000011,CUST0096,PROD009,1,149172.95,completed,EMI,Jaipur,2026-05-01 10:05:00
ORD000012,CUST0171,PROD049,1,71365.37,completed,UPI,Hyderabad,2026-05-01 18:42:00
ORD000013,CUST0040,PROD043,1,101974.6,completed,UPI,Pune,2026-05-01 17:22:00
ORD000014,CUST0110,PROD036,1,115245.47,returned,EMI,Surat,2026-05-01 19:07:00
ORD000015,CUST0069,PROD002,2,332125.05,completed,Credit Card,Pune,2026-05-01 08:38:00
ORD000016,CUST0169,PROD026,1,29506.19,completed,UPI,Delhi,2026-05-01 19:00:00
ORD000017,CUST0095,PROD020,1,68837.64,completed,EMI,Surat,2026-05-01 14:24:00
ORD000018,CUST0159,PROD004,1,32323.73,completed,Credit Card,Ahmedabad,2026-05-01 10:56:00
ORD000019,CUST0056,PROD049,1,83421.98,completed,Credit Card,Kolkata,2026-05-01 21:31:00
ORD000020,CUST0135,PROD043,1,119033.31,completed,Net Banking,Kolkata,2026-05-01 11:18:00
ORD000021,CUST0197,PROD009,1,189119.44,completed,Credit Card,Pune,2026-05-01 09:00:00
ORD000022,CUST0034,PROD025,1,86699.78,completed,Net Banking,Jaipur,2026-05-01 11:00:00
ORD000023,CUST0112,PROD002,1,148665.97,completed,UPI,Pune,2026-05-01 19:04:00
ORD000024,CUST0075,PROD008,1,128387.83,completed,Credit Card,Bangalore,2026-05-01 21:36:00
ORD000025,CUST0112,PROD007,1,73008.05,completed,EMI,Kolkata,2026-05-01 22:53:00
ORD000026,CUST0057,PROD022,2,298829.81,completed,UPI,Jaipur,2026-05-01 10:25:00
ORD000027,CUST0090,PROD023,1,181278.53,completed,Net Banking,Chennai,2026-05-01 11:33:00
ORD000028,CUST0040,PROD049,1,35525.48,completed,UPI,Bangalore,2026-05-01 11:09:00
ORD000029,CUST0115,PROD044,1,152215.31,failed,EMI,Surat,2026-05-01 23:29:00
ORD000030,CUST0113,PROD005,3,191732.87,completed,Credit Card,Hyderabad,2026-05-01 18:55:00
